"","binlow","binhigh","binmean","binstdev","mean","stdev"
"1",-0.007,0.194799999999841,-0.439840653497026,0.837255344822292,0.182325035053151,1.04872144099686
"2",0.194799999999841,0.344799999999841,-0.18758026346226,0.462603457997427,0.182325035053151,0.595424214685336
"3",0.344799999999841,0.594799999999841,0.035202899245214,0.41892022116478,0.182325035053151,0.444741476925986
"4",0.594799999999841,0.844799999999841,0.0748659129855837,0.476901300257728,0.182325035053151,0.489239013066999
"5",0.844799999999841,1.09479999999984,0.0423331410661918,0.369399460260799,0.182325035053151,0.395810713217145
"6",1.09479999999984,1.44479999999984,0.363361599872484,0.58449079320107,0.182325035053151,0.612650089310963
"7",1.44479999999984,1.94479999999984,0.264046142899041,0.503579269849917,0.182325035053151,0.510400756870498
"8",1.94479999999984,2.79479999999984,0.178122357238831,0.462641780387489,0.182325035053151,0.462661575698278
"9",2.79479999999984,5.14479999999983,0.72331390059927,0.878164600739333,0.182325035053151,1.03666851475062
"10",5.14479999999983,20.6948,0.76942531358418,0.887477226380731,0.182325035053151,1.07007884748835
